label,message
0,Don't throw NettyWebServer on permission errors <enter>  <enter> Update `NettyWebServer` so that the `PortInUseException` is not thrown <enter> for permission denied errors. <enter>  <enter> Fixes gh-19807
3,Publish from Travis <enter>  <enter> Remove 11 <enter>  <enter> Omit signing <enter>  <enter> WIP
0,Throw UnknownHostException again from HttpURLConnection <enter>  <enter> This is to address issue #1827.
0,Removed the unnecessary Note: block in javadoc
3,Moved echo up.
0,Make minimum outgoing web socket message compression size configurable (#5890) <enter>  <enter> * Expose minimum outgoing web socket message compression size option in OkHttpClient.Builder <enter>  <enter> * Don't refer to implementation class in API doc <enter>  <enter> * Add non-negative check for webSocketMinimumDeflateSize <enter>  <enter> * Add tests for webSocketMinimumDeflateSize <enter>  <enter> * Rename option to minWebSocketMessageToCompress
0,"New API, HandshakeCertificates.addPlatformTrustedCertificates() <enter>  <enter> Also rename HeldCertificate.Builder.issuedBy() to signedBy(). 'Issued' is the <enter> word used by certificates; 'signed' is the word used by cryptographers. I prefer <enter> 'signed'."
2,fixed javadoc
0,"For #855, remove FrameworkMethod.getParameterSignatures() <enter>  <enter> Having this method in place made a class from the 'core' of JUnit <enter> (org.junit.runners.model) depend on something from 'experimental' -- <enter> a dependency going in the wrong direction."
0,3.12.3 backports some bug fixes
0,#2507: Dubbo 's ExtensionLoader may be can't find custom Extension (#2518) <enter>  <enter> * update README <enter>  <enter> * #2507: Dubbo 's ExtensionLoader may be can't find custom Extension
0,config refactor
0,Close Android test properly in case it passes (#5905) <enter>  <enter> * Close test properly in case it passes <enter>  <enter> * Fix
0,Bump version to RC1.
3,add start status for gRPC server
2,fix parameters could be null. (#5205)
2,fix protocol register set false not work (#4776)
3,Upgrade annotation demo
3,Add NDK to build.
0,Remove unnecessary null check.
0,Start building against Spring Security 5.2.0 snapshots <enter>  <enter> See gh-18256
0,"Document HTTP response format of health endpoint <enter>  <enter> Add HTTP response format details for health endpoint, including default <enter> status codes and sample responses. <enter>  <enter> See gh-8703"
3,Disable summary report
3,APIs to set date headers
3,Bump Guava dependency.
3,Simplify test method fetching.
2,"Issue #1127; when arrays differ in length, say so, but go ahead and find the first difference as usual to ease diagnosis"
3,Update custom conversion docs per feedback <enter>  <enter> * Clarify that Gson is just the default converter <enter> * Add section on other built-in converters <enter> * Add section on implementing your own custom converters
0,format code style (#2475)
0,Properly name ignored exception in 'catch' block.
3,ignore parameter(exclude=true).
0,Update changelog for OkHttp 3.3.0.
2,fix conflicts after merged master
0,Fix style nits per review
0,Create MultipleFailureException in org.junit.runners.model and deprecate the one in org.junit.internal.runners.model. <enter> Update MultipleFailureException to have a useful message. <enter>  <enter> This allows developers who write custom runners to properly handle multiple exceptions without depending on internal classes.
0,replace ServiceAnnotationBeanPostProcessor log.isInfoEnabled->log.isWarnEnabled (#2712) <enter>  <enter> simplify ExtensionLoader code segment
0,Simplify Filter implementation for backward compatibility
3,temporarily ignore UT RegistryDataConfigTest
0,Test Android with Play provider (#5679)
0,Transfer to/from FileChannel directly from Buffer. (#3846)
3,Update Scala dependency
3,Assert full JSON document consumption with Moshi.
0,Upgrade to Hibernate 5.3.18.Final <enter>  <enter> Closes gh-23274
0,"Fix concurrent problem of zookeeper configcenter, wait to start until cache being fully populated."
0,List more contributor names
0,"Degrade connections after a timeout <enter>  <enter> This is based roughly on the 'Degraded Connections' proposal here <enter> https://github.com/square/okhttp/issues/3146#issuecomment-471196032 <enter>  <enter> I'm using 1000 ms instead of 500 ms. That's about the cost of a (slow) <enter> TLS handshake, which is what callers would need to do if we degrade <enter> unnecessarily."
0,Making Super and Sub member classes as suggested. <enter> https://github.com/KentBeck/junit/pull/293/files#r403246
3,"Multiple categories on tests, category inheritance, production classes in production package."
0,"Restore folder `javadoc/latest` for Javadoc. <enter>  <enter> This folder has been used for many years. There are links to Javadoc at <enter> that folder (e.g. http://stackoverflow.com/questions/156503/how-do-you-assert-that-a-certain-exception-is-thrown-in-junit-4-tests/2935935#2935935 ). <enter> Restoring the folder `javadoc/latest` will hopefully restore the <enter> Javadoc pages in Google Search, too."
0,Fix small wording issues in custom converter docs
0,Add path and query tests for pre-encoded values.
3,Failing assumptions can be listened for.
3,Pom cleanup.
0,Test docs and unit test (#6386)
3,spring delegate to bootstrap.
0,support handle of exception from onResponse or onError (#4401) <enter>  <enter> fix #4401
0,Format code (#3756)
0,Remove redundant throws.
1,merged
0,Prepare version 2.7.0
0,Move properties to correct file <enter>  <enter> See gh-22543
2,fix UT
3,"Multiple categories on tests, category inheritance, production classes in production package."
1,I want these gone
3,Check config instance in ConfigManager before create a new one.
0,"Configure Spring Data Couchbase explicitly <enter>  <enter> This commit configures Spring Data Couchbase explicitly rather than <enter> relying on the abstract configuration class. This has the advantage of <enter> simplifying the auto-configuration and let it us proxy-free <enter> configuration classes. <enter>  <enter> Spring Boot no longer uses or interacts with CouchbaseConfigurer. Users <enter> relying on that to teach Spring Boot which components to use should <enter> rely on `@Primary` flag instead in case of multiple beans of the same <enter> type. <enter>  <enter> `CouchbaseConfiguration` is no longer public as extending from it is <enter> no longer necessary. If the `CouchbaseEnvironment` has to be <enter> customized, a `CouchbaseEnvironmentBuilderCustomizer` bean can be <enter> registered to tune the auto-configured environment. <enter>  <enter> Closes gh-20533"
0,Fixed #520 change Main.class wait/notify to lock/condition
3,"Forbid null map values, and null maps."
3,Update javadoc
0,"Allow service interfaces to extend other interfaces <enter>  <enter> With a higher minSdkVersion, the bug which prevented this on Android no longer exists."
1,demos
0,New mockwebserver docs.
3,add paragraph clarifying logging
3,remove experimental doc
0,Don't call callEnd() twice when application interceptors proceed twice. <enter>  <enter> I'm working towards reducing the role StreamAllocation plays. <enter>  <enter> https://github.com/square/okhttp/issues/4603
3,Use latest release plugin.
0,Updated version to 4.9b3
0,Use Wire release 1.0.1
0,Drop ALPN support. <enter>  <enter> https://github.com/square/okhttp/issues/666
3,Added Mark Shapiro to acknowledgements <enter>  <enter> Signed-off-by: Kent Beck <kent@threeriversinstitute.org>
0,Fix #995 - correct link to 4.12 release notes
0,Update checkstyle to the latest version.
3,add ASF license head (#1459) <enter>  <enter> * add ASF license head <enter>  <enter> * add liscense head <enter>  <enter> * add dependecies to NOTICE
0,Make code of process callback of method cleaner in DubboBeanDefinitionParser (#4770)
0,"Upate TestName to make the 'name' field volatile. <enter>  <enter> This ensures that the name is published across threads correctly--for <enter> instance, if a parallelized runner is used. <enter>  <enter> Closes #1157"
3,Migrate most behavior tests to be whitebox(ish). <enter>  <enter> Eliminate the blackbox inspection into RestMethodInfo and direct invocation of RequestBuilder by combining the two.
0,"Refactoring of the test case for JVM Method sorter <enter>  <enter> Removed the string based equality, and improved naming <enter> (in particular calling the expected result 'actual' was confusing). <enter>  <enter> Incomplete - task : Issue 551: Resolve sensitive equality in <enter> MethodSorter test."
0,Release resource after use in ConfigParserTest (#2905)
0,Fix undertow access_log file name <enter>  <enter> Undertow 1.3.2 changed the default access log file suffix from '.log' <enter> to just 'log'. Thus we need to adapt the file name pattern to include <enter> the missing dot. <enter>  <enter> Closes gh-4670
0,"remove appConfigs cache to support one service/reference registered more than one time (if users don't explicitly add id, cache can not work properly)"
0,IOException instead of Throwable in EventListener API (#3543)
0,fix misspelling <enter>  <enter> git-svn-id: http://code.alibabatech.com/svn/dubbo/trunk@145 1a56cb94-b969-4eaa-88fa-be21384802f2
0,"Doc: OkHttpClient should be treated as immutable once shared <enter>  <enter> ...given that requirement, it's safe for many threads to call the <enter> open() method concurrently to open their own connections. <enter>  <enter> https://github.com/square/okhttp/pull/634#discussion_r10487815"
0,Upgrade to Mysql 8.0.21 <enter>  <enter> Closes gh-22425
2,Fix random ut falling in DubboMonitorTest (#3327)
0,Correct javadoc to point to proper annotation.
0,#992 add codecov component (#993)
0,Start building against Spring Batch 4.2.5 snapshots <enter>  <enter> See gh-24289
0,Set UserDetailsService in default AuthenticationManagerBuilder <enter>  <enter> Only affects the default AuthenticationManagerBuilder (so when users <enter> are not overriding the default global user details). Makes the <enter> UserDetailsService effectively available as it would be if we used <enter> AuthenticationManagerBuilder.inMemoryAuthentication() as a <enter> shared object in the HttpSecurity. <enter>  <enter> Fixes gh-3152
0,remove getContext() (#3235)
3,Now sorting tests globally
3,Provide option for eagerly validating an interface.
3,unify heartbeat stamp key
0,simplify map empty judgment (#3376)
0,Add some missing Nullable annotations
0,Document limitations of logging.pattern.* <enter>  <enter> Closes gh-5653
0,Promote Android logging to a class which knows about chunking. <enter>  <enter> Remove the concept of chunking from calling code. This is an Android-specific implementation detail which is now only performed when needed.
3,Comparing arrays declared as Object now uses array comparison. There was also a strange change to the .classpath file that I reverted. <enter>   -- Kent
2,Following feedback from dsaff
0,"Introduce Exchange. <enter>  <enter> This is the payoff that preceding changes have been working towards. <enter> This splits StreamAllocation into three parts: <enter>  <enter>  - ExchangeFinder: strategy to allocate connections for exchanges <enter>  - Exchange: a single request/response pair <enter>  - Transmitter: a sequence of exchanges for a Call <enter>  <enter> The refactoring isn't totally complete, but this should be the last <enter> big one. <enter>  <enter> https://github.com/square/okhttp/issues/4603"
0,combine test coverage report (#2643)
0,Added a few names
3,Eliminate barren 'core' module. Updates to other modules.
2,Fix issue#5411 (#5427)
3,Revert 'fix wrong check of InvokerListener when export a service (fix issue_6269) (#6271)' <enter>  <enter> This reverts commit 91989cae508f8482f31ac335879da4a5975661c8.
0,Remove redundant field fCause
0,Clean up Address.kt
0,Prepare for 1.7.0.
0,First step towards HTTP/2 automatic pings. (#3874) <enter>  <enter> This changes the executor services in HTTP/2 connection to split up <enter> listener executors (of which there may be many threads) from writer <enter> executors (of which there is one per connection). <enter>  <enter> This adds a scheduled executor job to send pings on an interval. We <enter> don't yet fail the connection if pongs are not received. <enter>  <enter> For follow-up there's some work to remove exising APIs to send pings <enter> through the HTTP/2 APIs. These are unused and make it awkard to <enter> confirm that only the automatic pings are being replied to. <enter>  <enter> See https://github.com/square/okhttp/issues/3261
0,Relax enforcement of UTF-8 and use the body charset for decoding. <enter>  <enter> Consumers wanting well-behaved endponts should override or add to their `toBody` charset enforcement: <enter>  <enter> ```java <enter> String charset = Utils.parseCharset(body.mimeType()); <enter> if (!'UTF-8'.equalsIgnoreCase(charset)) { <enter>   throw new ConversionException('Invalid charset ' + charset + '. Must be UTF-8'); <enter> } <enter> ``` <enter>  <enter> Closes #163.
2,Fixed failing tests when running on Windows. <enter>  <enter> Note that File.separator is not sufficient to build an absolute path on Windows. <enter> String.format with '%n' produces a platform dependent line separator. <enter>  <enter> Closes #1409
1,categories 2
1,whitespace.
0,Preparing for 4.6
0,Android Cache Test  (#6010)
2,OkHttp 2.0 only.
0,Move Handshake to Kotlin (#4799) <enter>  <enter> * Convert Handshake to Kotlin <enter>  <enter> * Idiomatic kotlin <enter>  <enter> * Fix some PR comments
2,fix qos configuration cannot work after added 'qos-enable' style support (#4378) <enter>  <enter> fixes #4377
2,Fixes #2513 - NetworkSecurityPolicy based ConnectionSpec setup.
2,Sample for a dynamic base URL.
0,Inject a leading . for better matching under JavaNetCookieJar <enter>  <enter> Closes: https://github.com/square/okhttp/issues/2549
0,"Remove deprecated error identifier. <enter>  <enter> This whole class is probably going to die or morph, but killing off tech debt before major refactorings makes me feel good."
3,Re-organize theory packages
1,*** empty log message ***
0,Add some missing Nullable annotations
0,Update README.md (#3808) <enter>  <enter> add  @Override  annotation
2,Incorporated James Abbley's patch for ParallelComputer <enter>  <enter> Signed-off-by: Kent Beck <kent@threeriversinstitute.org>
3,move examples <enter>  <enter> git-svn-id: http://code.alibabatech.com/svn/dubbo/trunk@1678 1a56cb94-b969-4eaa-88fa-be21384802f2
0,Upgrade to Thymeleaf Extras Java8time 3.0.3.RELEASE <enter>  <enter> Closes gh-15913
0,Update CHANGELOG.md
0,"Move cache writing out of the transport. <enter>  <enter> This is necessary to unblock network interceptors, where the interceptor <enter> may elect to rewrite the response body. If we've already cached the <enter> original response body, we're too late."
0,Changelog for OkHttp 3.5.0.
